student_id,study_hours,attendance,previous_score,sleep_hours,assignments,practice_tests,final_score
S0125,6.9,66.9,71.2,6.9,9.0,1.0,67.6
S0126,5.9,95.5,81.5,5.7,3.0,6.0,73.6
S0127,8.1,81.4,72.1,6.4,4.0,3.0,71.6
S0128,2.8,87.2,45.8,5.9,2.0,0.0,33.8
S0129,3.9,64.3,66.3,8.0,8.0,3.0,54.6
S0130,3.3,64.6,78.4,7.8,4.0,0.0,56.9
S0131,4.4,83.4,41.7,5.1,4.0,4.0,38.8
S0132,2.4,78.7,53.0,6.6,9.0,5.0,57.3
S0133,6.5,84.6,80.3,6.1,5.0,4.0,81.3
S0134,4.8,75.7,71.8,8.4,3.0,2.0,65.7
S0135,2.3,81.3,73.8,5.5,2.0,6.0,59.3
S0136,3.2,79.9,94.0,8.8,4.0,5.0,84.6
S0137,5.8,87.3,74.6,7.0,10.0,2.0,70.0
S0138,6.9,87.7,77.2,5.7,6.0,3.0,70.8
S0139,9.2,58.6,98.0,6.3,10.0,0.0,86.4
S0140,10.0,51.0,65.0,6.1,3.0,8.0,59.4
S0141,6.0,90.0,56.8,5.6,5.0,6.0,58.3
S0142,3.2,92.3,74.0,7.1,3.0,2.0,61.5
S0143,0.9,65.8,74.1,5.6,5.0,6.0,60.9
S0144,5.2,55.7,60.6,4.6,7.0,6.0,58.4
S0145,3.6,79.2,53.5,6.6,9.0,5.0,55.0
S0146,4.4,89.2,98.0,5.0,5.0,0.0,80.4
S0147,4.0,99.6,72.6,6.2,8.0,7.0,71.3
S0148,4.9,84.2,57.7,6.0,7.0,8.0,61.7
S0149,7.3,73.5,80.8,6.0,4.0,8.0,72.7
S0150,5.5,67.3,66.5,9.2,10.0,8.0,75.5
S0151,4.9,78.1,64.5,7.1,5.0,8.0,66.6
S0152,3.1,74.4,75.9,7.3,3.0,6.0,60.6
S0153,1.9,65.8,49.9,5.0,10.0,0.0,40.5
S0154,4.2,100.0,72.9,6.3,10.0,4.0,68.6
S0155,5.1,99.4,94.8,7.2,2.0,2.0,76.8
S0156,8.7,91.6,74.5,5.9,10.0,1.0,70.8
S0157,5.5,66.9,62.7,8.0,10.0,7.0,74.3
S0158,7.2,88.3,60.9,5.7,9.0,7.0,72.9
S0159,4.2,85.7,62.3,6.7,4.0,4.0,58.1
S0160,2.8,83.3,64.4,6.4,7.0,6.0,69.2
S0161,3.3,93.0,62.7,7.2,6.0,1.0,54.2
S0162,3.7,85.6,80.8,6.3,7.0,1.0,83.5
S0163,9.5,86.9,43.7,6.7,7.0,7.0,56.6
S0164,3.6,85.6,80.1,6.7,7.0,4.0,72.6
S0165,6.9,82.1,62.7,6.2,6.0,4.0,59.8
S0166,3.4,56.6,73.3,7.5,8.0,4.0,66.6
S0167,7.1,79.0,52.2,7.3,6.0,1.0,56.7
S0168,6.0,78.15,86.6,6.9,2.0,7.0,75.5
S0169,4.9,62.6,85.4,6.5,2.0,6.0,79.4
S0170,5.1,98.2,81.4,7.9,10.0,6.0,85.1
S0171,3.9,98.7,46.8,6.7,10.0,3.0,52.4
S0172,6.1,94.3,79.6,6.7,7.0,5.0,72.9
S0173,4.3,81.1,73.7,7.1,3.0,8.0,69.1
S0174,2.7,94.2,45.5,8.9,9.0,5.0,50.8
S0175,2.6,78.1,67.7,5.5,3.0,4.0,49.6
S0176,5.5,80.4,73.1,7.8,5.0,2.0,62.2
S0177,8.4,64.9,75.8,4.9,4.0,4.0,81.3
S0178,5.5,82.8,70.5,7.2,2.0,3.0,59.6
S0179,5.0,78.7,72.1,8.7,9.0,5.0,66.1
S0180,5.8,62.4,88.6,7.5,6.0,0.0,71.3
S0181,7.8,77.4,85.2,7.2,4.0,1.0,75.6
S0182,5.6,77.0,27.9,6.4,6.0,7.0,38.8
S0183,4.4,99.6,63.6,7.0,2.0,3.0,58.2
S0184,7.4,88.7,65.7,6.7,5.0,3.0,67.7
S0185,6.1,78.1,43.5,6.1,6.0,4.0,42.1
S0186,8.3,81.0,69.3,6.7,5.0,3.0,69.4
S0187,5.6,78.5,85.5,7.2,9.0,6.0,78.8
S0188,2.8,75.6,52.8,6.2,4.0,2.0,38.7
S0189,2.5,65.0,72.7,6.1,3.0,6.0,53.0
S0190,8.5,76.2,55.2,5.5,6.0,1.0,48.4
S0191,8.6,69.0,58.6,7.4,9.0,3.0,69.9
S0192,4.8,63.0,88.7,7.6,5.0,5.0,80.6
S0193,4.4,84.1,60.4,7.3,2.0,7.0,60.5
S0194,8.1,82.7,74.5,8.1,10.0,2.0,78.7
S0195,3.0,56.6,41.8,7.1,5.0,5.0,41.1
S0196,3.4,76.5,94.1,7.4,3.0,0.0,63.8
S0197,6.5,89.9,76.4,7.3,7.0,0.0,75.5
S0198,4.4,90.7,65.4,6.9,4.0,6.0,61.9
S0199,5.2,90.3,76.1,6.4,10.0,6.0,80.0
S0200,4.9,78.5,67.4,9.4,4.0,3.0,50.3
S0201,5.9,67.9,84.6,6.5,6.0,5.0,71.2
S0202,8.0,65.0,63.5,6.3,6.0,3.0,54.0
S0203,5.4,82.1,65.1,7.5,4.0,2.0,54.9
S0204,6.5,82.6,61.1,7.3,6.0,3.0,63.4
S0205,1.1,93.4,59.9,5.5,2.0,2.0,46.2
S0206,5.1,91.2,77.7,8.2,7.0,7.0,71.3
S0207,3.5,76.4,71.6,6.9,8.0,3.0,59.2
S0208,2.8,63.1,77.1,5.8,10.0,2.0,61.5
S0209,3.4,74.2,67.9,8.3,4.0,4.0,57.4
S0210,4.5,80.6,75.2,7.7,4.0,6.0,61.7
S0211,7.0,75.6,62.1,5.6,6.0,2.0,50.7
S0212,2.5,71.1,98.0,9.0,8.0,8.0,85.5
S0213,5.3,81.0,46.0,7.7,10.0,4.0,53.7
S0214,4.2,72.0,85.7,7.0,2.0,5.0,64.5
S0215,4.5,70.5,87.2,8.7,4.0,8.0,79.2
S0216,7.2,81.7,56.1,7.2,4.0,3.0,60.7
S0217,6.3,73.2,98.0,7.0,4.0,1.0,75.4
S0218,7.9,80.9,81.9,6.3,6.0,6.0,79.0
S0219,4.9,81.3,81.6,7.6,9.0,0.0,79.1
S0220,3.8,64.3,68.4,7.5,2.0,4.0,53.4
S0221,4.8,72.2,65.0,7.0,9.0,8.0,64.5
S0222,5.7,95.3,65.1,6.1,7.0,3.0,68.9
S0223,5.6,64.1,73.5,7.1,7.0,6.0,68.4
S0224,3.0,52.6,87.6,6.9,8.0,4.0,78.9
S0225,5.4,55.7,70.5,5.5,3.0,1.0,56.3
S0226,5.7,78.3,55.2,5.4,8.0,2.0,51.0
S0227,10.0,78.4,79.5,7.6,4.0,4.0,81.6
S0228,9.0,76.6,80.9,4.1,6.0,0.0,73.0
S0229,3.5,92.6,77.2,7.2,8.0,3.0,75.8
S0230,4.6,45.9,78.4,6.5,7.0,3.0,63.0
S0231,2.3,82.8,64.2,8.4,4.0,7.0,58.8
S0232,4.0,96.7,55.0,6.5,5.0,1.0,48.5
S0233,5.8,64.5,55.8,7.7,6.0,7.0,61.3
S0234,7.6,73.4,45.1,6.6,2.0,3.0,38.5
S0235,3.7,69.0,71.3,7.1,8.0,5.0,70.7
S0236,3.9,67.3,66.8,7.8,2.0,5.0,58.6
S0237,0.9,74.1,61.8,6.5,6.0,2.0,41.2
S0238,4.9,95.1,26.6,8.1,7.0,8.0,46.8
S0239,3.1,100.0,50.5,5.9,2.0,2.0,51.9
S0240,4.1,74.0,83.7,7.3,10.0,0.0,79.0
S0241,3.4,100.0,58.7,8.0,5.0,6.0,65.3
S0242,5.0,78.4,73.0,7.7,2.0,5.0,64.5
S0243,1.7,99.0,48.5,9.1,7.0,8.0,45.1
S0244,2.3,76.9,88.1,6.2,7.0,4.0,63.9
S0245,9.5,79.6,67.4,5.5,7.0,0.0,66.1
S0246,2.6,82.4,72.1,5.9,8.0,0.0,56.1
S0247,3.0,100.0,98.0,7.7,6.0,3.0,80.1
S0248,8.9,88.2,89.2,7.5,9.0,2.0,89.2
S0249,10.0,69.5,63.7,7.1,5.0,8.0,73.8
S0250,2.9,89.6,59.7,5.8,6.0,1.0,42.4
S0251,4.5,73.7,63.4,7.8,3.0,7.0,56.5
S0252,5.9,72.1,75.1,5.7,7.0,1.0,73.1
S0253,8.7,88.9,66.5,8.3,4.0,1.0,61.1
S0254,3.2,78.4,62.5,10.0,8.0,2.0,65.0
S0255,4.7,81.3,88.5,7.4,9.0,1.0,77.1
S0256,6.8,78.2,66.4,7.6,9.0,3.0,71.4
S0257,6.1,82.0,98.0,6.5,10.0,2.0,95.6
S0258,4.4,83.1,69.3,5.0,3.0,4.0,60.7
S0259,4.9,54.8,93.0,6.3,3.0,4.0,78.7
S0260,2.5,86.0,73.0,5.8,10.0,0.0,56.5
S0261,4.7,66.2,81.5,5.4,5.0,1.0,70.2
S0262,4.7,60.7,57.9,8.9,2.0,1.0,43.7
S0263,5.7,77.3,56.0,7.3,4.0,1.0,51.6
S0264,4.1,79.0,74.4,7.4,9.0,0.0,67.9
S0265,6.1,69.7,81.8,6.7,5.0,2.0,73.2
S0266,7.2,88.0,68.6,6.8,2.0,4.0,65.3
S0267,5.5,61.9,50.0,8.1,8.0,2.0,46.4
S0268,5.9,73.1,49.0,7.0,3.0,2.0,37.5
S0269,5.3,71.0,48.0,7.6,5.0,4.0,51.8
S0270,5.2,77.4,43.3,6.8,2.0,4.0,40.7
S0271,3.8,81.3,69.5,6.6,7.0,2.0,66.8
S0272,5.8,65.9,83.8,5.5,6.0,1.0,69.4
S0273,5.0,86.7,67.8,4.8,9.0,3.0,56.2
S0274,9.4,78.8,36.4,6.7,5.0,0.0,46.6
S0275,8.3,55.3,65.3,7.1,3.0,4.0,58.9
S0276,6.0,54.5,65.7,5.6,3.0,8.0,60.3
S0277,3.7,77.9,97.3,7.0,3.0,3.0,74.8
S0278,3.0,75.3,47.6,7.1,6.0,0.0,48.2
S0279,7.6,76.8,62.5,4.6,2.0,6.0,52.7
S0280,5.7,77.7,91.9,6.0,5.0,1.0,74.8
S0281,6.2,80.7,74.3,7.4,9.0,1.0,72.0
S0282,1.7,89.4,75.9,7.4,8.0,1.0,59.0
S0283,7.1,64.7,69.6,5.7,7.0,7.0,70.3
S0284,6.1,63.9,72.6,7.2,10.0,8.0,84.0
S0285,3.0,64.9,78.9,8.1,9.0,5.0,69.9
S0286,4.3,81.5,56.7,7.9,7.0,5.0,59.3
S0287,5.7,92.9,80.3,6.9,9.0,5.0,66.0
S0288,5.3,78.15,48.8,6.5,3.0,5.0,45.0
S0289,4.6,48.0,72.6,6.3,9.0,4.0,63.2
S0290,5.0,57.6,70.5,7.5,4.0,8.0,60.7
S0291,4.7,68.0,59.4,7.2,8.0,6.0,65.0
S0292,5.5,71.3,67.7,7.7,10.0,0.0,63.1
S0293,8.1,73.1,59.3,7.1,6.0,3.0,59.8
S0294,0.5,78.5,53.0,7.9,2.0,8.0,42.4
S0295,4.7,74.3,63.0,7.1,5.0,3.0,46.7
S0296,5.6,90.6,52.5,7.9,5.0,1.0,45.5
S0297,5.8,69.9,72.5,8.0,10.0,7.0,81.0
S0298,4.5,67.7,51.9,6.1,10.0,5.0,42.7
S0299,1.7,83.7,78.0,5.0,7.0,5.0,60.7
S0300,5.9,59.6,51.5,8.7,10.0,3.0,54.4
S0301,8.7,82.7,60.1,7.3,5.0,1.0,69.3
S0302,2.1,79.2,59.3,5.1,5.0,3.0,50.3
S0303,6.9,76.2,86.6,6.2,9.0,3.0,78.8
S0304,4.5,97.1,72.6,7.8,8.0,8.0,82.0
S0305,5.1,70.5,65.0,6.7,6.0,2.0,53.9
S0306,3.1,100.0,75.0,6.4,6.0,1.0,68.7
S0307,4.5,75.3,38.5,8.5,8.0,3.0,36.6
S0308,7.8,62.7,67.4,5.8,8.0,8.0,75.8
S0309,6.4,78.8,96.0,6.1,6.0,4.0,83.3
S0310,8.7,65.1,69.9,7.2,2.0,3.0,59.0
S0311,7.6,69.0,69.0,7.4,2.0,6.0,64.1
S0312,6.1,82.8,75.7,7.5,3.0,5.0,70.9
S0313,8.7,84.7,80.5,8.0,6.0,2.0,76.9
S0314,6.1,70.5,40.0,7.2,7.0,8.0,51.4
S0315,6.9,89.8,44.4,7.5,9.0,5.0,52.6
S0316,4.6,91.9,70.9,6.7,4.0,0.0,62.4
S0317,5.3,95.2,58.0,7.1,9.0,3.0,63.1
S0318,3.8,84.4,86.4,7.1,7.0,8.0,80.5
S0319,7.2,94.4,63.6,7.2,2.0,3.0,58.0
S0320,2.8,55.4,40.9,7.8,5.0,5.0,37.8
S0321,6.8,74.2,50.2,7.6,4.0,5.0,54.7
S0322,4.8,67.6,29.5,7.0,9.0,6.0,48.5
S0323,7.5,79.4,64.7,6.1,10.0,7.0,76.4
S0324,6.7,71.1,65.4,7.1,9.0,1.0,69.0
S0325,8.8,76.0,62.1,7.0,6.0,4.0,80.7
S0326,6.7,100.0,83.1,7.2,6.0,4.0,83.0
S0327,2.1,76.0,84.8,9.4,4.0,1.0,70.8
S0328,5.1,83.0,65.6,6.4,8.0,6.0,69.1
S0329,2.9,75.2,38.1,7.5,2.0,1.0,24.4
S0330,4.2,78.9,76.6,8.2,4.0,4.0,65.4
S0331,8.2,78.1,75.8,7.1,3.0,2.0,66.7
S0332,6.5,83.4,72.3,9.6,6.0,1.0,73.8
S0333,3.8,92.0,81.7,6.6,4.0,7.0,72.0
S0334,3.2,97.8,51.7,7.0,3.0,2.0,45.7
S0335,5.3,81.7,96.1,6.1,5.0,2.0,86.0
S0336,2.8,85.1,54.6,6.6,9.0,7.0,60.2
S0337,3.9,64.2,78.5,7.3,7.0,7.0,71.1
S0338,5.8,76.9,44.4,7.9,9.0,0.0,44.3
S0339,7.5,89.3,55.0,7.4,10.0,2.0,68.2
S0340,6.4,88.4,89.2,8.4,10.0,6.0,95.5
S0341,0.6,80.5,64.3,6.9,5.0,7.0,46.3
S0342,5.8,88.6,79.8,6.6,9.0,8.0,80.1
S0343,5.3,83.9,71.3,10.0,10.0,4.0,76.9
S0344,6.0,92.4,66.5,7.4,10.0,0.0,70.8
S0345,8.4,81.5,87.1,6.2,5.0,7.0,89.1
S0346,1.1,73.7,64.7,6.2,4.0,1.0,47.9
S0347,4.0,82.0,43.1,6.0,7.0,1.0,42.7
S0348,6.4,45.0,56.8,8.0,10.0,6.0,61.8
S0349,2.0,82.6,75.7,6.6,10.0,5.0,65.8
S0350,8.2,45.0,73.5,7.1,7.0,0.0,65.0
S0351,5.9,57.3,46.1,6.9,3.0,1.0,39.1
S0352,6.9,83.4,57.9,7.8,5.0,5.0,60.4
S0353,4.1,83.7,59.9,6.1,8.0,2.0,45.7
S0354,6.8,64.1,62.9,5.8,7.0,6.0,60.2
S0355,7.3,69.5,48.7,7.2,5.0,3.0,50.1
S0356,5.7,94.4,59.2,7.7,5.0,5.0,59.1
S0357,5.7,72.2,57.8,7.4,2.0,4.0,50.5
S0358,5.7,100.0,78.8,6.1,4.0,3.0,72.7
S0359,3.5,78.0,79.3,7.7,8.0,3.0,65.9
S0360,4.9,82.9,66.0,6.2,4.0,6.0,52.2
S0361,4.9,97.4,62.5,6.4,10.0,4.0,63.2
S0362,6.0,79.6,70.0,6.0,2.0,5.0,65.1
S0363,7.2,66.0,56.6,8.4,7.0,5.0,69.8
S0364,3.1,76.7,51.9,7.7,6.0,1.0,49.4
S0365,4.9,77.6,54.8,7.7,9.0,8.0,54.2
S0366,8.2,61.6,59.1,8.4,9.0,5.0,65.7
S0367,3.7,74.9,51.7,7.0,6.0,6.0,55.9
S0368,3.6,69.1,70.3,5.1,7.0,7.0,63.4
S0369,5.6,89.1,78.2,6.2,8.0,8.0,81.0
S0370,6.9,78.4,45.8,6.3,6.0,6.0,46.2
S0371,5.2,74.6,68.4,6.1,3.0,7.0,61.7
S0372,7.9,76.7,64.9,5.8,5.0,4.0,64.9
S0373,6.9,80.7,72.8,6.7,4.0,6.0,73.7
S0374,6.9,85.4,67.8,5.7,6.0,2.0,59.2
S0375,6.3,66.0,47.6,7.4,7.0,6.0,50.7
S0376,9.9,65.5,50.3,7.1,3.0,0.0,36.1
S0377,4.8,91.3,68.4,7.5,4.0,8.0,63.8
S0378,1.2,73.1,82.4,7.6,9.0,2.0,66.3
S0379,8.4,61.0,37.0,7.7,5.0,5.0,39.6
S0380,4.3,83.3,72.8,6.6,3.0,0.0,58.7
S0381,5.4,83.6,84.7,9.3,8.0,1.0,79.5
S0382,7.8,59.6,65.9,7.3,8.0,8.0,59.9
S0383,2.0,80.8,75.7,5.0,9.0,7.0,68.4
S0384,2.7,86.8,58.2,5.9,8.0,2.0,46.7
S0385,2.0,82.5,66.3,5.1,10.0,1.0,58.3
S0386,3.6,85.6,45.3,7.0,7.0,7.0,42.2
S0387,6.1,61.1,35.2,6.9,4.0,8.0,40.0
S0388,6.2,82.0,81.2,6.5,9.0,1.0,74.0
S0389,5.8,74.4,54.2,9.2,4.0,5.0,57.1
S0390,2.4,72.2,61.6,7.6,4.0,2.0,50.0
S0391,0.6,88.4,48.6,7.8,9.0,6.0,47.4
S0392,5.3,95.8,48.3,6.0,9.0,3.0,44.4
S0393,4.3,99.5,65.6,5.9,5.0,1.0,49.3
S0394,6.1,93.8,57.8,7.0,8.0,2.0,56.8
S0395,6.6,76.7,73.3,7.2,10.0,4.0,74.8
S0396,5.5,82.2,74.3,5.0,9.0,7.0,69.7
S0397,6.7,87.2,72.5,6.8,2.0,0.0,64.6
S0398,5.7,79.5,71.3,7.0,7.0,8.0,70.8
S0399,6.3,79.6,90.1,6.8,3.0,5.0,74.4
S0400,3.8,87.9,53.1,6.1,9.0,7.0,54.8
S0401,4.8,77.3,67.2,6.4,2.0,8.0,61.4
S0402,5.2,69.2,83.9,6.8,10.0,1.0,78.1
S0403,6.8,73.0,85.7,7.1,3.0,0.0,80.9
S0404,4.4,85.6,48.1,7.7,5.0,6.0,46.5
S0405,6.2,78.0,63.6,8.2,4.0,1.0,58.0
S0406,4.7,82.1,87.0,6.7,9.0,1.0,79.5
S0407,5.0,86.0,75.1,6.5,5.0,4.0,67.3
S0408,6.9,73.5,70.7,7.5,8.0,8.0,72.6
S0409,1.2,87.1,65.0,7.7,2.0,7.0,46.6
S0410,2.6,82.5,62.6,6.5,6.0,4.0,51.9
S0411,2.2,63.2,72.0,7.9,10.0,1.0,57.0
S0412,0.5,95.3,64.5,8.1,10.0,3.0,51.2
S0413,3.8,72.0,67.4,8.4,3.0,6.0,56.3
S0414,6.7,58.1,69.1,9.0,5.0,1.0,58.1
S0415,4.6,65.5,58.5,6.0,5.0,4.0,53.9
S0416,5.6,65.7,75.4,7.0,7.0,0.0,68.4
S0417,7.4,78.6,98.0,7.0,6.0,2.0,83.4
S0418,7.9,74.7,43.1,6.9,2.0,2.0,41.0
S0419,5.1,74.0,72.5,6.3,8.0,6.0,60.2
S0420,7.9,85.4,57.4,5.4,4.0,8.0,57.9
S0421,5.4,82.1,76.1,7.1,4.0,1.0,67.1
S0422,3.5,81.8,68.7,6.2,9.0,7.0,70.9
S0423,4.0,82.9,78.7,7.1,8.0,5.0,69.9
S0424,2.2,85.4,84.5,6.1,5.0,8.0,78.0
S0425,3.4,52.7,70.7,5.8,10.0,8.0,58.6
S0426,4.5,73.6,83.8,7.3,5.0,0.0,62.5
S0427,6.8,51.8,35.2,7.2,7.0,6.0,45.6
S0428,8.6,78.4,90.3,7.6,4.0,5.0,94.2
S0429,2.4,77.9,73.3,9.4,3.0,1.0,61.8
S0430,6.0,90.5,83.1,7.3,6.0,2.0,75.9
S0431,3.1,92.3,50.9,7.5,7.0,8.0,43.5
S0432,6.1,80.4,56.4,5.8,9.0,4.0,48.3
S0433,4.9,72.0,70.0,5.6,5.0,3.0,60.0
S0434,1.5,83.8,67.8,8.7,10.0,2.0,60.9
S0435,7.1,71.7,72.0,6.0,7.0,7.0,66.3
